Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0402_1005Metric",148.400000,-101.683810,0.000000,top
"C102","100n","C_0402_1005Metric",150.700000,-106.483810,180.000000,top
"C103","100n","C_0402_1005Metric",143.700000,-105.783810,90.000000,top
"C104","220p","C_0402_1005Metric",148.400000,-108.283810,180.000000,top
"C105","220p","C_0402_1005Metric",150.700000,-103.483810,180.000000,top
"C106","220p","C_0402_1005Metric",145.600000,-101.683810,0.000000,top
"C107","100p","C_0402_1005Metric",150.700000,-105.483810,180.000000,top
"C108","100p","C_0402_1005Metric",150.700000,-104.483810,180.000000,top
"C109","1.00p","C_0402_1005Metric",153.500000,-104.483810,180.000000,top
"C110","100n","C_0402_1005Metric",143.200000,-107.283810,0.000000,top
"C111","1.00p","C_0402_1005Metric",152.100000,-105.983810,90.000000,top
"C112","1.80p","C_0402_1005Metric",155.400000,-105.483810,180.000000,top
"C113","1.50p","C_0402_1005Metric",156.800000,-104.983810,90.000000,top
"C114","18.0p","C_0402_1005Metric",146.400000,-108.283810,0.000000,top
"C115","18.0p","C_0402_1005Metric",150.700000,-108.283810,180.000000,top
"C116","2.20u","C_0402_1005Metric",140.700000,-109.283810,90.000000,top
"C117","2.20u","C_0402_1005Metric",140.700000,-111.283810,-90.000000,top
"D101","SDD32A05L01","D_SOD-323",137.500000,-102.383810,90.000000,top
"D102","LED","LED_0603_1608Metric",137.300000,-115.083810,90.000000,top
"J101","SMA","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",160.700000,-104.983810,0.000000,top
"L101","1.20n","L_0402_1005Metric",153.500000,-105.483810,180.000000,top
"L102","1.20n","L_0402_1005Metric",155.400000,-104.483810,180.000000,top
"L103","1.20n","L_0402_1005Metric",152.100000,-103.983810,-90.000000,top
"R101","10.0k","R_0402_1005Metric",144.900000,-108.783810,90.000000,top
"R102","100","R_0402_1005Metric",143.200000,-104.283810,180.000000,top
"R103","100","R_0402_1005Metric",143.200000,-103.283810,180.000000,top
"R104","100","R_0402_1005Metric",143.200000,-108.283810,180.000000,top
"R105","56.0k","R_0402_1005Metric",147.000000,-101.183810,90.000000,top
"R106","220","R_0402_1005Metric",138.600000,-114.533810,-90.000000,top
"R107","5.10k","R_0402_1005Metric",137.500000,-105.483810,0.000000,top
"R108","5.10k","R_0402_1005Metric",137.500000,-104.483810,0.000000,top
"U101","CC2500","Texas_RGP0020H_VQFN-20-1EP_4x4mm_P0.5mm_EP2.4x2.4mm",147.000000,-104.983810,0.000000,top
"U102","TPS7A2033PD","SOT-23-5",138.100000,-110.263810,-90.000000,top
"Y101","ABM8-26.000MHZ","Crystal_SMD_3225-4Pin_3.2x2.5mm",149.600000,-110.533810,0.000000,top
